,chembl_id,Predicted_Value
0,CHEMBL1201225,[np.float32(78.95506)]
1,CHEMBL1235452,[np.float32(8.196192)]
2,CHEMBL1616046,[np.float32(7.8543725)]
3,CHEMBL1098659,[np.float32(7.5949473)]
4,CHEMBL2364607,[np.float32(7.02398)]
5,CHEMBL1624,[np.float32(6.720438)]
6,CHEMBL559,[np.float32(6.701875)]
7,CHEMBL1200432,[np.float32(6.607548)]
8,CHEMBL2146883,[np.float32(6.587904)]
9,CHEMBL71595,[np.float32(6.495815)]
10,CHEMBL1511,[np.float32(6.4725204)]
11,CHEMBL3301603,[np.float32(6.43321)]
12,CHEMBL2105743,[np.float32(6.417004)]
13,CHEMBL3989556,[np.float32(6.408747)]
14,CHEMBL24944,[np.float32(6.3435235)]
15,CHEMBL1200934,[np.float32(6.32326)]
16,CHEMBL2364629,[np.float32(6.306793)]
17,CHEMBL944,[np.float32(6.301813)]
18,CHEMBL691,[np.float32(6.2946467)]
19,CHEMBL1201327,[np.float32(6.277805)]
20,CHEMBL588,[np.float32(6.2773123)]
21,CHEMBL1319139,[np.float32(6.276143)]
22,CHEMBL1200973,[np.float32(6.2710667)]
23,CHEMBL1557,[np.float32(6.2469797)]
24,CHEMBL1200705,[np.float32(6.214721)]
25,CHEMBL2105708,[np.float32(6.21063)]
26,CHEMBL1372950,[np.float32(6.201693)]
27,CHEMBL1161681,[np.float32(6.194468)]
28,CHEMBL1200940,[np.float32(6.1906104)]
29,CHEMBL1200543,[np.float32(6.187728)]
