,chembl_id,Predicted_Value
0,CHEMBL2146883,[np.float32(8.687437)]
1,CHEMBL1200367,[np.float32(7.9147487)]
2,CHEMBL1201244,[np.float32(7.4774485)]
3,CHEMBL1668,[np.float32(7.439987)]
4,CHEMBL895,[np.float32(7.337397)]
5,CHEMBL3301603,[np.float32(7.2752514)]
6,CHEMBL4297109,[np.float32(7.2367773)]
7,CHEMBL1201743,[np.float32(7.15102)]
8,CHEMBL1200678,[np.float32(7.105752)]
9,CHEMBL3137317,[np.float32(6.923056)]
10,CHEMBL3348963,[np.float32(6.900549)]
11,CHEMBL1201087,[np.float32(6.866406)]
12,CHEMBL1201336,[np.float32(6.789491)]
13,CHEMBL1664,[np.float32(6.7871842)]
14,CHEMBL6966,[np.float32(6.695556)]
15,CHEMBL3218576,[np.float32(6.645027)]
16,CHEMBL2079587,[np.float32(6.402341)]
17,CHEMBL1200412,[np.float32(6.343088)]
18,CHEMBL1738797,[np.float32(6.307757)]
19,CHEMBL61593,[np.float32(6.301644)]
20,CHEMBL497,[np.float32(6.2853265)]
21,CHEMBL1200545,[np.float32(6.226048)]
22,CHEMBL2040682,[np.float32(6.094758)]
23,CHEMBL1339,[np.float32(6.073217)]
24,CHEMBL1389,[np.float32(5.9691143)]
25,CHEMBL282724,[np.float32(5.9165416)]
26,CHEMBL2105743,[np.float32(5.9152994)]
27,CHEMBL218394,[np.float32(5.913667)]
28,CHEMBL63857,[np.float32(5.8597608)]
29,CHEMBL1201264,[np.float32(5.8436465)]
