,chembl_id,Predicted_Value
0,CHEMBL389621,[np.float32(8.718546)]
1,CHEMBL1200600,[np.float32(8.443482)]
2,CHEMBL1370,[np.float32(8.198181)]
3,CHEMBL218394,[np.float32(8.159043)]
4,CHEMBL1200617,[np.float32(8.1288595)]
5,CHEMBL404520,[np.float32(7.8452854)]
6,CHEMBL1200635,[np.float32(7.750951)]
7,CHEMBL1201087,[np.float32(7.6146483)]
8,CHEMBL2079587,[np.float32(7.613415)]
9,CHEMBL1753,[np.float32(7.611495)]
10,CHEMBL1664,[np.float32(7.602579)]
11,CHEMBL1092067,[np.float32(7.500025)]
12,CHEMBL2040682,[np.float32(7.4996123)]
13,CHEMBL870,[np.float32(7.411988)]
14,CHEMBL1201244,[np.float32(7.4039946)]
15,CHEMBL1200545,[np.float32(7.29201)]
16,CHEMBL895,[np.float32(7.2828035)]
17,CHEMBL1389,[np.float32(7.21773)]
18,CHEMBL2105743,[np.float32(7.192664)]
19,CHEMBL3301603,[np.float32(7.1902323)]
20,CHEMBL110458,[np.float32(7.139905)]
21,CHEMBL1738797,[np.float32(6.9870563)]
22,CHEMBL1201336,[np.float32(6.9785)]
23,CHEMBL319144,[np.float32(6.8683677)]
24,CHEMBL1577,[np.float32(6.8204803)]
25,CHEMBL1346,[np.float32(6.7835364)]
26,CHEMBL178803,[np.float32(6.781521)]
27,CHEMBL1339,[np.float32(6.7802944)]
28,CHEMBL521686,[np.float32(6.764035)]
29,CHEMBL63857,[np.float32(6.756636)]
30,CHEMBL1113,[np.float32(6.749904)]
31,CHEMBL1201284,[np.float32(6.6744747)]
32,CHEMBL42,[np.float32(6.5704284)]
33,CHEMBL46740,[np.float32(6.561843)]
34,CHEMBL3218576,[np.float32(6.539623)]
35,CHEMBL61593,[np.float32(6.479685)]
36,CHEMBL2105581,[np.float32(6.417688)]
37,CHEMBL3137317,[np.float32(6.313969)]
38,CHEMBL6,[np.float32(6.2943997)]
39,CHEMBL1200799,[np.float32(6.26253)]
40,CHEMBL1201262,[np.float32(6.2036514)]
41,CHEMBL1201265,[np.float32(6.179616)]
42,CHEMBL1592,[np.float32(6.1481743)]
43,CHEMBL3707246,[np.float32(6.147096)]
44,CHEMBL219916,[np.float32(6.142227)]
45,CHEMBL1625,[np.float32(6.090949)]
46,CHEMBL878,[np.float32(6.0790215)]
47,CHEMBL679,[np.float32(6.0145907)]
48,CHEMBL1200396,[np.float32(5.9984574)]
49,CHEMBL277535,[np.float32(5.981416)]
50,CHEMBL1529,[np.float32(5.8822417)]
51,CHEMBL492,[np.float32(5.793045)]
52,CHEMBL3989855,[np.float32(5.7570143)]
53,CHEMBL1201319,[np.float32(5.740859)]
54,CHEMBL1201082,[np.float32(5.611915)]
55,CHEMBL4297109,[np.float32(5.607366)]
56,CHEMBL76,[np.float32(5.5449924)]
57,CHEMBL1200392,[np.float32(5.490371)]
58,CHEMBL273575,[np.float32(5.4418435)]
59,CHEMBL1046,[np.float32(5.429553)]
60,CHEMBL645,[np.float32(5.3937407)]
61,CHEMBL5315118,[np.float32(5.3615465)]
62,CHEMBL1129,[np.float32(5.342195)]
63,CHEMBL435,[np.float32(5.3070865)]
64,CHEMBL1201287,[np.float32(5.265319)]
65,CHEMBL1200521,[np.float32(5.2649155)]
66,CHEMBL1628234,[np.float32(5.2621865)]
67,CHEMBL1201212,[np.float32(5.254313)]
68,CHEMBL1200323,[np.float32(5.250547)]
69,CHEMBL1413,[np.float32(5.239817)]
70,CHEMBL911,[np.float32(5.178267)]
71,CHEMBL1619,[np.float32(5.100852)]
72,CHEMBL497,[np.float32(5.0949645)]
73,CHEMBL1088977,[np.float32(5.0826035)]
74,CHEMBL1201773,[np.float32(5.0631495)]
75,CHEMBL887,[np.float32(5.0572853)]
76,CHEMBL550,[np.float32(5.0384445)]
77,CHEMBL1590,[np.float32(4.9120164)]
78,CHEMBL4297403,[np.float32(4.8788795)]
79,CHEMBL2103844,[np.float32(4.841455)]
80,CHEMBL1201270,[np.float32(4.8351765)]
81,CHEMBL3989859,[np.float32(4.8059363)]
82,CHEMBL2107387,[np.float32(4.7304096)]
83,CHEMBL730,[np.float32(4.452884)]
84,CHEMBL1200968,[np.float32(nan)]
85,CHEMBL1371200,[np.float32(nan)]
86,CHEMBL3707377,[np.float32(7.4337792)]
87,CHEMBL1200436,[np.float32(7.3721466)]
