,chembl_id,Predicted_Value
0,CHEMBL2364607,[np.float32(6.458722)]
1,CHEMBL3989543,[np.float32(6.3327417)]
2,CHEMBL2103744,[np.float32(6.2995143)]
3,CHEMBL3989514,[np.float32(6.2514453)]
4,CHEMBL4297091,[np.float32(6.210014)]
5,CHEMBL1315867,[np.float32(6.187296)]
6,CHEMBL493,[np.float32(6.1624093)]
7,CHEMBL1372950,[np.float32(6.1528463)]
8,CHEMBL584,[np.float32(6.139454)]
9,CHEMBL2364629,[np.float32(6.11502)]
10,CHEMBL3301603,[np.float32(6.0764523)]
11,CHEMBL238071,[np.float32(6.0654836)]
12,CHEMBL2146883,[np.float32(6.0318236)]
13,CHEMBL2107297,[np.float32(6.030998)]
14,CHEMBL1319139,[np.float32(6.009451)]
15,CHEMBL4594350,[np.float32(5.992243)]
16,CHEMBL1801800,[np.float32(5.9898586)]
17,CHEMBL3707183,[np.float32(5.9849863)]
18,CHEMBL24944,[np.float32(5.9847336)]
19,CHEMBL253376,[np.float32(5.9837885)]
20,CHEMBL2359966,[np.float32(5.982098)]
21,CHEMBL3989511,[np.float32(5.979331)]
22,CHEMBL3989523,[np.float32(5.969263)]
23,CHEMBL497,[np.float32(5.938346)]
24,CHEMBL43128,[np.float32(5.9044747)]
25,CHEMBL2105755,[np.float32(5.90186)]
26,CHEMBL1200955,[np.float32(5.8983064)]
27,CHEMBL53,[np.float32(5.896072)]
28,CHEMBL1615779,[np.float32(5.879033)]
29,CHEMBL4650220,[np.float32(5.875024)]
