,chembl_id,Predicted_Value
0,CHEMBL2146883,[np.float32(8.787017)]
1,CHEMBL1200367,[np.float32(7.810578)]
2,CHEMBL1201244,[np.float32(7.5658207)]
3,CHEMBL1200678,[np.float32(7.449405)]
4,CHEMBL4297109,[np.float32(7.400619)]
5,CHEMBL3301603,[np.float32(7.150713)]
6,CHEMBL1664,[np.float32(7.1504846)]
7,CHEMBL1668,[np.float32(7.078664)]
8,CHEMBL1201336,[np.float32(7.050957)]
9,CHEMBL1205,[np.float32(7.0237617)]
10,CHEMBL497,[np.float32(6.934109)]
11,CHEMBL895,[np.float32(6.8892694)]
12,CHEMBL3348963,[np.float32(6.8317695)]
13,CHEMBL1201087,[np.float32(6.8286095)]
14,CHEMBL3137317,[np.float32(6.7400165)]
15,CHEMBL61593,[np.float32(6.492709)]
16,CHEMBL1201743,[np.float32(6.467583)]
17,CHEMBL219916,[np.float32(6.3077235)]
18,CHEMBL3218576,[np.float32(6.20707)]
19,CHEMBL1738797,[np.float32(6.1835837)]
20,CHEMBL5315125,[np.float32(6.1759195)]
21,CHEMBL1200412,[np.float32(6.1298146)]
22,CHEMBL1200545,[np.float32(6.1178226)]
23,CHEMBL218394,[np.float32(6.107356)]
24,CHEMBL2105743,[np.float32(6.085657)]
25,CHEMBL13828,[np.float32(5.9381957)]
26,CHEMBL2040682,[np.float32(5.929233)]
27,CHEMBL404520,[np.float32(5.859644)]
28,CHEMBL521686,[np.float32(5.766149)]
29,CHEMBL2079587,[np.float32(5.7449746)]
